ID_NUMBER,ACTIVITY_LOCATION,NAICS_CODE
ALR000014696,AL    ,326191
ALD983168709,AL    ,4471
ALR000049106,AL    ,811191
ALR000049478,AL    ,23832
ALR000037903,AL    ,482112
ALD149979528,AL    ,441
ALD983169814,AL    ,44511
ALR000046599,AL    ,811191
ALR000029942,AL    ,44131
ALR000004093,AL    ,332812
ALR000004838,AL    ,331511
ALD008180069,AL    ,321113
ALD981757768,AL    ,81112
ALR000029306,AL    ,332312
ALR000015032,AL    ,311119
AL0000008359,AL    ,4471
AL0000008383,AL    ,81149
ALD983174277,AL    ,33641
ALD003881133,AL    ,212321
ALD053363784,AL    ,331491
ALR000017418,AL    ,811191
ALR000032763,AL    ,311615
ALD983191321,AL    ,31321
ALR000014639,AL    ,212312
AL0001002286,AL    ,811111
ALR000013664,AL    ,811121
ALR000032136,AL    ,334518
ALR000022343,AL    ,321999
ALD982136053,AL    ,44111
ALD085767697,AL    ,221112
ALR000012971,AL    ,32551
ALD983191479,AL    ,54171
ALD981470131,AL    ,54138
ALR000005421,AL    ,45291
ALD983195041,AL    ,484122
ALD983180555,AL    ,611519
ALR000039602,AL    ,92412
ALR000031542,AL    ,42472
ALR000024794,AL    ,311119
ALD983169913,AL    ,4471
ALR000005264,AL    ,452311
ALR000043943,AL    ,327999
ALR000018572,AL    ,81111
ALR000017459,AL    ,811118
ALR000046623,AL    ,22111
ALR000003772,AL    ,811112
ALR000003772,AL    ,44132
ALD981027766,AL    ,81232
ALD063696108,AL    ,325222
ALD031625536,AL    ,811111
ALD981024219,AL    ,44112
ALD077641751,AL    ,331222
ALD077641751,AL    ,331221
ALD031482730,AL    ,44111
ALD982090482,AL    ,81232
ALR000044081,AL    ,44411
ALR000037168,AL    ,493110
ALR000026567,AL    ,325414
ALD983174665,AL    ,811121
ALD981029218,AL    ,334119
ALR000051011,AL    ,48411
ALR000022236,AL    ,811191
ALR000010447,AL    ,42191
ALR000022830,AL    ,332996
ALD983184011,AL    ,45211
ALD983194101,AL    ,44112
AL1640090006,AL    ,541380
ALR000014878,AL    ,424490
ALR000040808,AL    ,484121
ALR000038356,AL    ,71219
ALD000792598,AL    ,211111
ALD983169400,AL    ,44719
ALD983192170,AL    ,811111
ALR000049569,AL    ,562111
ALR000049601,AL    ,322121
ALD981757487,AL    ,81232
ALD983182676,AL    ,33995
ALD982173288,AL    ,325612
ALR000042424,AL    ,44611
ALR000024406,AL    ,21112
ALD982085839,AL    ,54133
ALR000016345,AL    ,337212
ALD041904145,AL    ,51111
ALD983171539,AL    ,332813
ALR000009563,AL    ,811113
ALR000023580,AL    ,45299
ALR000023853,AL    ,45299
ALR000025031,AL    ,11234
ALD982082554,AL    ,48821
ALD983173980,AL    ,331210
ALD981023286,AL    ,811213
ALD000737494,AL    ,32712
ALD982141905,AL    ,811121
ALR000040956,AL    ,48899
ALD983174517,AL    ,811111
AL0000881771,AL    ,423810
ALR000005843,AL    ,811191
ALD067138891,AL    ,484121
ALR000039511,AL    ,32739
ALD029604626,AL    ,811111
ALD003398047,AL    ,332618
ALR000044776,AL    ,811118
ALR000044776,AL    ,44132
ALR000033944,AL    ,811111
ALR000034587,AL    ,48839
ALD981758204,AL    ,45299
ALR000039537,AL    ,54194
ALR000045351,AL    ,81111
ALR000034355,AL    ,622110
AL0000045328,AL    ,44422
ALD983174707,AL    ,332312
ALD981028368,AL    ,81232
ALR000039453,AL    ,811111
ALR000017319,AL    ,484230
ALR000045716,AL    ,61111
AL0000033191,AL    ,81232
ALR000044412,AL    ,332321
ALD000653444,AL    ,336211
ALR000028910,AL    ,482112
AL0000964718,AL    ,811111
ALD982145005,AL    ,81131
ALD982150344,AL    ,517311
ALR000003301,AL    ,54171
ALR000051276,AL    ,446110
ALD981478662,AL    ,336211
ALR000008706,AL    ,332721
ALD983194150,AL    ,42111
ALR000005819,AL    ,811111
ALD983169525,AL    ,811118
ALD067103705,AL    ,331222
ALD982115230,AL    ,31499
ALD983185893,AL    ,811113
ALR000048272,AL    ,62431
ALD983169897,AL    ,811192
ALR000011536,AL    ,44412
ALD981758196,AL    ,453998
ALR000046193,AL    ,33111
ALD982115248,AL    ,23731
ALD981027097,AL    ,81131
ALR000043612,AL    ,32739
ALR000018135,AL    ,48411
ALR000012088,AL    ,32615
ALD039089453,AL    ,812332
ALD047154620,AL    ,424690
AL0000566679,AL    ,452311
ALR000031047,AL    ,33636
ALD031639073,AL    ,811111
ALR000017657,AL    ,811111
ALD983175159,AL    ,44131
ALR000022707,AL    ,45299
ALR000007948,AL    ,32522
ALR000028084,AL    ,42471
ALD983173873,AL    ,32732
ALD055905079,AL    ,56172
ALD066457383,AL    ,54194
ALR000005454,AL    ,81232
ALD003398377,AL    ,335221
ALD982098378,AL    ,81111
ALD981479538,AL    ,81232
ALR000048884,AL    ,211111
ALR000046870,AL    ,562112
ALR000018143,AL    ,44111
ALR000031468,AL    ,81131
ALD079127635,AL    ,33221
ALR000024620,AL    ,21112
ALR000018259,AL    ,81111
ALD982166514,AL    ,81111
ALR000025874,AL    ,562111
ALD983174889,AL    ,11194
ALD980604144,AL    ,811111
ALR000054270,AL    ,42393
FL0000936831,AL    ,562112
MSR000101121,AL    ,54133
TNR000007385,AL    ,485991
GAR000026088,AL    ,562111
ALR000012005,AL    ,332999
ALR000012252,AL    ,325199
ALR000049981,AL    ,811198
ALD004019691,AL    ,326113
ALR000031773,AL    ,33639
ALR000048637,AL    ,23891
ALR000048694,AL    ,811191
ALD983175316,AL    ,562112
ALR000051953,AL    ,812922
ALD050978329,AL    ,42469
ALD983168097,AL    ,325411
ALR000053645,AL    ,44131
ALR000053314,AL    ,562998
ALR000040493,AL    ,562112
ALR000053421,AL    ,811121
ALD983174079,AL    ,81111
ALR000053256,AL    ,23832
ALD006320774,AL    ,325199
ALD983174681,AL    ,332312
ALD050981687,AL    ,333924
ALR000048033,AL    ,81111
ALD004010120,AL    ,32551
ALR000052654,AL    ,44611
ALR000052670,AL    ,44611
ALR000047746,AL    ,33111
ALD084948157,AL    ,336419
ALR000002204,AL    ,325412
ALR000025486,AL    ,336112
ALD057202558,AL    ,326191
IND000646943,AL    ,562998
INR000018960,AL    ,484110
INR000022798,AL    ,48411
MID092947928,AL    ,562219
MI0000263871,AL    ,562112
OHD042311209,AL    ,541715
OHD981000557,AL    ,562219
OHD068913409,AL    ,48423
IND984868406,AL    ,11111
LAR000068445,AL    ,48422
OKD987086659,AL    ,33271
CAD072953771,AL    ,48411
MAR000502138,AL    ,49319
CTD983896341,AL    ,562112
NYD097644801,AL    ,541618
NYD986899912,AL    ,42393
PAD982661381,AL    ,562112
ALD047865456,AL    ,811111
AL0000737692,AL    ,33271
ALR000052449,AL    ,811118
ALR000002949,AL    ,444110
ALR000029199,AL    ,44412
ALD004009163,AL    ,32592
ALR000036715,AL    ,48621
ALR000052928,AL    ,446110
ALD981746605,AL    ,81232
ALR000007849,AL    ,48411
ALR000052894,AL    ,446110
ALD982126021,AL    ,31191
ALD983174285,AL    ,811121
ALD982135949,AL    ,453998
ALD982135949,AL    ,42111
AL0000989640,AL    ,339999
ALR000049874,AL    ,562998
ALD980221253,AL    ,212111
ALR000009589,AL    ,334111
ALD095705463,AL    ,321114
ALD982110116,AL    ,335314
ALR000023135,AL    ,811191
ALR000037846,AL    ,532412
ALD040656357,AL    ,44111
ALR000044396,AL    ,44111
ALD983186412,AL    ,48423
ALR000043968,AL    ,92311
ALR000017541,AL    ,811111
ALR000018226,AL    ,562111
ALR000042259,AL    ,33995
ALR000008508,AL    ,332312
ALR000013961,AL    ,81111
ALR000025148,AL    ,321912
ALD983169970,AL    ,811111
ALR000033134,AL    ,811121
ALR000033134,AL    ,44112
ALD000613802,AL    ,31321
ALR000021279,AL    ,44111
ALR000042572,AL    ,81232
ALR000040105,AL    ,42314
ALR000043323,AL    ,54138
ALD057220659,AL    ,331315
ALR000026260,AL    ,811198
ALR000026120,AL    ,562920
ALR000016824,AL    ,811111
ALD982109548,AL    ,485410
ALR000012245,AL    ,44121
AL0000018309,AL    ,332313
ALD983174616,AL    ,42183
ALR000000802,AL    ,32511
ALR000000604,AL    ,811111
ALD982160749,AL    ,81111
ALR000052415,AL    ,81111
ALR000052605,AL    ,44611
ALR000010496,AL    ,811121
ALR000050922,AL    ,621511
ALR000046052,AL    ,44419
ALD075454058,AL    ,42271
ALR000003020,AL    ,32311
ALR000047712,AL    ,48621
ALR000050898,AL    ,811111
ALR000010090,AL    ,42271
ALD983186974,AL    ,326113
ALR000033266,AL    ,61111
ALD982087132,AL    ,45321
ALD983183963,AL    ,81149
ALR000006791,AL    ,811111
ALR000006684,AL    ,45211
ALD057212979,AL    ,44511
ALR000016881,AL    ,315119
ALD053365656,AL    ,332312
AL0000447847,AL    ,44131
ALD039570429,AL    ,4841
ALD045752169,AL    ,56171
ALD079474037,AL    ,61131
ALD003395514,AL    ,321113
ALD000652420,AL    ,211112
ALR000051185,AL    ,81111
AL0000057190,AL    ,44131
ALR000051441,AL    ,62211
ALR000008532,AL    ,453998
ALR000048504,AL    ,54171
ALR000033258,AL    ,32732
ALR000053926,AL    ,221122
ALR000032300,AL    ,811191
ALR000036624,AL    ,811111
ALR000000166,AL    ,562213
ALR000036335,AL    ,53111
ALR000052837,AL    ,446110
ALR000007062,AL    ,811111
ALD983166893,AL    ,48422
ALR000038554,AL    ,44112
ALD982109803,AL    ,92119
ALR000045971,AL    ,321114
ALR000052365,AL    ,44611
ALR000019000,AL    ,44131
ALR000043588,AL    ,327332
ALD983170259,AL    ,325211
ALR000045294,AL    ,92119
ALD982092546,AL    ,312111
ALR000015966,AL    ,33312
ALR000025213,AL    ,81111
ALR000017210,AL    ,81111
ALR000032813,AL    ,31152
ALR000045328,AL    ,562920
ALD982079568,AL    ,311812
ALR000021048,AL    ,562212
ALR000005058,AL    ,325211
ALR000022988,AL    ,811111
ALR000031591,AL    ,42472
ALD982093635,AL    ,51711
ALD982125098,AL    ,81232
ALR000043067,AL    ,332811
ALR000010116,AL    ,111333
ALR000049882,AL    ,562910
ALR000031534,AL    ,81112
ALD046473948,AL    ,33329
ALR000009266,AL    ,11232
ALR000051102,AL    ,56121
ALR000036467,AL    ,811111
ALD034084871,AL    ,811111
ALR000048173,AL    ,56291
ALR000011627,AL    ,331513
ALD983183187,AL    ,23521
ALR000039404,AL    ,811118
ALR000039404,AL    ,811111
ALD004003406,AL    ,32552
ALD045623634,AL    ,811111
ALR000008870,AL    ,311513
ALR000006148,AL    ,213111
ALR000005520,AL    ,811111
ALD982098089,AL    ,441221
ALR000049429,AL    ,23832
ALD982160921,AL    ,81149
ALD981479447,AL    ,325612
ALD982079626,AL    ,81232
ALD981002959,AL    ,325199
ALD000823310,AL    ,321212
ALR000024257,AL    ,212312
ALD980846828,AL    ,334119
ALD983174053,AL    ,811118
ALR000039636,AL    ,562111
ALR000051029,AL    ,811118
ALD095688875,AL    ,325199
ALR000012450,AL    ,32592
ALD003301884,AL    ,49311
ALD981477615,AL    ,81112
ALR000017442,AL    ,81111
ALR000041194,AL    ,42312
ALD982164584,AL    ,211111
ALR000031732,AL    ,311812
ALD983191347,AL    ,811111
ALR000031062,AL    ,562112
ALR000015545,AL    ,811191
ALR000042853,AL    ,33634
ALR000046698,AL    ,23622
ALR000020362,AL    ,81111
ALR000039420,AL    ,811118
ALD983176280,AL    ,811111
ALD137666855,AL    ,212112
ALD982098493,AL    ,44132
ALR000018655,AL    ,81111
ALR000026559,AL    ,81111
ALD982100232,AL    ,42111
ALD982100232,AL    ,33271
ALD009305608,AL    ,334419
ALD136419686,AL    ,44131
ALR000007781,AL    ,484121
ALD983176892,AL    ,811191
ALR000049130,AL    ,811111
ALD981023187,AL    ,92811
ALR000039941,AL    ,541921
ALD983185299,AL    ,221111
ALR000018218,AL    ,321214
ALR000035337,AL    ,61111
ALR000036723,AL    ,32739
ALR000035659,AL    ,33711
ALD982158636,AL    ,44111
AL0000129833,AL    ,42469
ALD094476793,AL    ,562112
ALR000022715,AL    ,811111
ALD982096265,AL    ,332813
ALR000016030,AL    ,327320
ALD982136129,AL    ,42151
ALR000010264,AL    ,81131
ALR000031682,AL    ,33271
ALR000022061,AL    ,811111
ALD983174459,AL    ,811113
ALR000014233,AL    ,62211
ALD983192857,AL    ,42184
ALD983192857,AL    ,337127
ALR000005967,AL    ,211111
ALD983175837,AL    ,44131
ALR000005025,AL    ,81232
ALR000037978,AL    ,44411
ALR000045674,AL    ,332812
ALR000006098,AL    ,33312
ALD982111593,AL    ,811121
ALD982111593,AL    ,44111
ALR000023747,AL    ,452311
AL2640006746,AL    ,81131
ALD061143350,AL    ,332312
ALR000026252,AL    ,56291
ALR000004317,AL    ,562111
ALD982116303,AL    ,811111
ALD983170242,AL    ,325211
ALD982128175,AL    ,42291
ALD983177163,AL    ,33271
ALR000031666,AL    ,81119
ALR000018341,AL    ,811191
ALR000048066,AL    ,811191
AL0000092940,AL    ,4471
ALR000000380,AL    ,335312
ALR000016469,AL    ,42393
ALD983179664,AL    ,212399
ALD983171455,AL    ,221122
ALD983191776,AL    ,332813
ALR000026369,AL    ,81111
ALR000037861,AL    ,332812
ALR000040428,AL    ,23731
ALD004015731,AL    ,332722
ALR000026146,AL    ,44111
ALR000021618,AL    ,811111
ALR000044230,AL    ,81111
ALR000028324,AL    ,484121
ALD077657427,AL    ,32614
ALR000044818,AL    ,452311
ALR000041202,AL    ,325199
ALR000028068,AL    ,92312
ALR000014258,AL    ,33271
ALD009829102,AL    ,484121
ALR000045922,AL    ,482112
ALD980844435,AL    ,333111
ALD983193830,AL    ,111422
ALR000032383,AL    ,322122
ALR000024588,AL    ,21112
ALR000046011,AL    ,484122
ALR000016337,AL    ,44111
ALD981476914,AL    ,323121
ALR000017053,AL    ,811191
ALD980559835,AL    ,32512
ALD983193301,AL    ,48423
ALR000046508,AL    ,48422
AL0000324764,AL    ,811111
ALD006900005,AL    ,221121
ALD004022166,AL    ,332999
ALR000014308,AL    ,333111
AL0000233536,AL    ,81131
ALR000031526,AL    ,811121
ALR000049072,AL    ,325199
ALR000035980,AL    ,811113
ALR000035980,AL    ,811111
ALD982166639,AL    ,336322
ALD046480851,AL    ,11311
ALR000036434,AL    ,61111
AL0000196683,AL    ,811111
ALR000049551,AL    ,811111
ALD982076358,AL    ,811121
ALR000001057,AL    ,811111
ALR000012583,AL    ,23521
ALR000040519,AL    ,54162
ALD982146540,AL    ,32311
ALD983176884,AL    ,22132
ALD982124422,AL    ,333995
ALR000018697,AL    ,81111
ALD983194135,AL    ,33231
ALD981745904,AL    ,811191
ALD034049387,AL    ,44111
ALD063672455,AL    ,45321
ALD983184094,AL    ,446110
ALR000015669,AL    ,332996
ALR000017400,AL    ,81111
ALR000017400,AL    ,811191
ALR000023523,AL    ,452311
ALR000044206,AL    ,49311
ALR000011395,AL    ,333415
ALR000051094,AL    ,221112
ALR000037853,AL    ,56291
ALR000017525,AL    ,811111
ALR000011148,AL    ,334418
ALD003395159,AL    ,333514
ALR000017780,AL    ,32311
ALR000045773,AL    ,484122
ALD981751324,AL    ,44112
ALD981757669,AL    ,811111
ALR000033548,AL    ,452311
ALD982146607,AL    ,81111
ALD053676524,AL    ,44111
ALD982086209,AL    ,334419
ALR000019240,AL    ,811191
ALR000033563,AL    ,48423
ALR000030312,AL    ,811111
ALR000016907,AL    ,441110
ALR000043299,AL    ,452311
ALD983195108,AL    ,81131
ALR000018523,AL    ,81112
ALD981475544,AL    ,333922
ALR000012823,AL    ,811191
ALR000022103,AL    ,311119
ALD981865546,AL    ,48849
ALR000021972,AL    ,811111
ALR000017236,AL    ,811118
ALD983194093,AL    ,44111
ALD982129967,AL    ,81149
ALD982154551,AL    ,332813
ALD983172164,AL    ,311615
ALD004020210,AL    ,33791
ALD041380973,AL    ,334413
AL0000266502,AL    ,81111
ALR000023127,AL    ,811191
ALR000010777,AL    ,49221
ALR000023473,AL    ,81111
ALR000008961,AL    ,811121
ALD982147555,AL    ,81111
ALD055908586,AL    ,332722
ALD983185539,AL    ,334519
ALR000034595,AL    ,81111
ALD981751191,AL    ,44111
ALR000014753,AL    ,811191
ALD991291295,AL    ,51121
ALD981752645,AL    ,44111
ALR000008953,AL    ,811121
ALR000001578,AL    ,48541
ALR000006635,AL    ,45211
ALD983191941,AL    ,811111
AL0000870840,AL    ,811111
AL0000870840,AL    ,42312
ALR000024695,AL    ,333514
ALR000029967,AL    ,33272
ALD983178690,AL    ,48621
AL0000961904,AL    ,53212
ALR000007369,AL    ,331492
ALR000045930,AL    ,48849
ALR000045930,AL    ,484122
ALR000032318,AL    ,488999
ALD003276763,AL    ,49319
ALR000009704,AL    ,92811
ALR000009779,AL    ,811121
ALR000034173,AL    ,211111
ALR000003517,AL    ,324121
ALR000037226,AL    ,92411
ALD981926033,AL    ,212399
ALR000028159,AL    ,332999
ALR000026757,AL    ,333922
ALD983190935,AL    ,44711
ALR000040873,AL    ,532412
ALD983184342,AL    ,811118
ALR000036038,AL    ,11234
ALD982156366,AL    ,44111
ALD981023112,AL    ,81232
ALR000012625,AL    ,81232
ALD983174442,AL    ,44111
ALD983171448,AL    ,42272
AL0000130427,AL    ,333319
ALD063696108,AL    ,31321
ALR000016097,AL    ,44411
ALR000034702,AL    ,811111
ALR000035196,AL    ,61111
ALR000032979,AL    ,48412
ALD981024664,AL    ,811112
ALR000014894,AL    ,48412
ALD983174921,AL    ,44111
ALD983172156,AL    ,313111
ALD981023344,AL    ,92811
AL0000008367,AL    ,44131
ALD983176470,AL    ,811111
ALR000039503,AL    ,812922
ALD982156424,AL    ,441
AL0000194514,AL    ,44111
AL0000126193,AL    ,453998
ALR000014878,AL    ,811111
ALD983169285,AL    ,4471
ALD982128118,AL    ,49311
ALD983179847,AL    ,811121
ALR000030783,AL    ,32615
ALD047155072,AL    ,44221
ALD031507445,AL    ,42184
ALD983193277,AL    ,81119
ALR000035360,AL    ,61111
ALR000036350,AL    ,562219
ALR000036111,AL    ,44132
ALR000016071,AL    ,484122
ALR000049189,AL    ,811191
ALR000023580,AL    ,45291
ALD004002333,AL    ,332721
ALD982098436,AL    ,81112
ALR000040477,AL    ,532412
ALR000040477,AL    ,42382
ALR000036079,AL    ,42393
ALR000002535,AL    ,562998
ALR000035758,AL    ,48412
ALR000045161,AL    ,42314
ALD078960796,AL    ,811111
AL0000045328,AL    ,453998
ALR000028225,AL    ,311119
ALR000043166,AL    ,811111
ALR000045831,AL    ,42361
ALD982129058,AL    ,81232
ALR000036301,AL    ,61131
ALR000017152,AL    ,81111
ALR000053553,AL    ,23832
ALD982166431,AL    ,81131
ALD031552177,AL    ,44111
ALD981755036,AL    ,44112
ALR000027953,AL    ,221122
ALD982123812,AL    ,42184
ALR000008474,AL    ,212399
ALD063669626,AL    ,321113
ALR000051490,AL    ,332313
ALD981757644,AL    ,81232
ALD983176967,AL    ,811111
ALD983194515,AL    ,811111
ALD983194515,AL    ,811118
AL0000877944,AL    ,81111
ALD981478605,AL    ,811111
ALR000016782,AL    ,21231
ALR000038430,AL    ,484121
ALD983183229,AL    ,56211
ALR000002006,AL    ,811111
ALD982095853,AL    ,32551
ALR000005108,AL    ,811111
ALR000035519,AL    ,325199
ALR000054221,AL    ,484122
ALD983168386,AL    ,333911
ALR000045336,AL    ,23712
ALR000040741,AL    ,484122
ALR000042325,AL    ,44421
AL0000360644,AL    ,336414
ALD982157216,AL    ,811111
ALD982109910,AL    ,11111
ALR000025379,AL    ,811191
ALR000026682,AL    ,44111
ALR000012112,AL    ,336419
ALD000827147,AL    ,332911
GAD981269095,AL    ,562112
ALD983173998,AL    ,332111
TND000825570,AL    ,485991
SCR000075515,AL    ,11111
ALR000039123,AL    ,811113
GAD033590514,AL    ,42393
ALR000014381,AL    ,812922
ALR000046029,AL    ,92219
ALR000011106,AL    ,42393
ALD031569940,AL    ,325211
ALR000045997,AL    ,61111
ALD983166117,AL    ,532111
ALD983167503,AL    ,211111
ALD983174889,AL    ,11192
ALR000023325,AL    ,81111
ALD983178336,AL    ,811111
ALD983169046,AL    ,42271
TNR000020248,AL    ,562111
GAR000054460,AL    ,42193
NCR000138578,AL    ,56291
NCR000135384,AL    ,562219
ALR000043109,AL    ,332999
ALR000012344,AL    ,811191
ALR000013706,AL    ,321114
ALR000054262,AL    ,42393
ALD000613851,AL    ,313312
ALR000022889,AL    ,484230
ALR000047696,AL    ,23899
ALD061137055,AL    ,331512
ALR000048090,AL    ,49312
ALD000826958,AL    ,54171
ALR000047357,AL    ,811111
ALD981923832,AL    ,32532
ALR000015230,AL    ,21232
ALD058221326,AL    ,488320
ALD058221326,AL    ,483111
ALR000002246,AL    ,336111
ALR000053058,AL    ,31321
ALR000052589,AL    ,44611
AL0000050161,AL    ,325998
GAR000039792,AL    ,812332
ALD981003361,AL    ,562111
ALR000054213,AL    ,811191
ALR000045484,AL    ,811111
ALD983169871,AL    ,44611
ALR000014571,AL    ,212312
ALR000038141,AL    ,452311
ALR000043224,AL    ,45221
ALD983191651,AL    ,325222
ALR000016261,AL    ,331221
ALR000025486,AL    ,336111
ALR000044057,AL    ,325199
ALD981026677,AL    ,325211
ALD004002077,AL    ,49311
ALD095702817,AL    ,321114
ALR000054320,AL    ,53212
GAR000017970,AL    ,48411
ALR000054056,AL    ,48899
MNS000110924,AL    ,562111
ILD000666206,AL    ,562211
MID072790710,AL    ,54162
LAR000030106,AL    ,4841
LAR000003954,AL    ,56292
ARR000016733,AL    ,48411
LA0000046151,AL    ,4841
LAR000051508,AL    ,562111
TXR000063909,AL    ,562111
NJR000011528,AL    ,56291
PAD014146179,AL    ,562111
PAD987347515,AL    ,484121
ALR000052993,AL    ,23832
ALD021255088,AL    ,33251
ALD982123341,AL    ,334514
ALR000026575,AL    ,332722
ALD983194846,AL    ,336611
ALR000013524,AL    ,811111
ALD981477730,AL    ,81231
AL0000130401,AL    ,81232
ALR000051995,AL    ,446110
ALD983169921,AL    ,4471
ALR000025791,AL    ,42145
ALR000052001,AL    ,446110
ALR000037051,AL    ,48423
ALN970716000,AL    ,488310
AL0000989640,AL    ,42299
AL0000989640,AL    ,514199
ALD982083529,AL    ,811118
ALD098852510,AL    ,44111
ALR000050559,AL    ,452111
ALD983170028,AL    ,811111
ALD021258272,AL    ,81232
ALD981477557,AL    ,81111
ALR000029728,AL    ,322212
ALD139657860,AL    ,332116
ALD983178823,AL    ,32614
AL5640090002,AL    ,22111
AL0640090015,AL    ,22111
ALR000019026,AL    ,44131
ALR000045989,AL    ,333131
ALD983178666,AL    ,486210
ALD004017497,AL    ,336111
ALR000029710,AL    ,811198
ALR000022863,AL    ,811191
ALR000001701,AL    ,48621
ALR000039289,AL    ,333249
ALR000038620,AL    ,532412
ALR000049213,AL    ,811191
ALR000037523,AL    ,44131
ALR000032037,AL    ,452311
ALR000045948,AL    ,48849
ALR000046433,AL    ,48849
ALR000017988,AL    ,212312
ALR000034926,AL    ,81111
AL9640006707,AL    ,221122
ALD037484268,AL    ,333912
ALR000017962,AL    ,811192
ALR000017962,AL    ,811111
ALR000041137,AL    ,44419
ALR000029512,AL    ,81111
ALD982082984,AL    ,44111
ALR000003533,AL    ,324121
ALR000039438,AL    ,81111
ALR000033381,AL    ,44411
ALD067129676,AL    ,333414
ALR000044339,AL    ,32111
AL0000053553,AL    ,81131
ALD983176439,AL    ,325414
ALR000045039,AL    ,23832
ALD095705588,AL    ,336322
ALD981931801,AL    ,48819
ALR000053025,AL    ,811121
ALR000035030,AL    ,32311
ALR000010223,AL    ,81112
ALD041226424,AL    ,42469
ALD072095169,AL    ,42469
ALR000006213,AL    ,44413
ALD131170599,AL    ,44111
ALR000052811,AL    ,812922
ALD983178526,AL    ,811111
ALD009702598,AL    ,335312
ALD000653352,AL    ,23599
ALD004021333,AL    ,332116
ALR000003350,AL    ,452111
ALR000052068,AL    ,44611
ALR000042382,AL    ,482111
ALR000009449,AL    ,33312
ALR000024935,AL    ,11234
ALR000052878,AL    ,812922
ALD072112873,AL    ,81149
ALR000049114,AL    ,332811
ALD981860398,AL    ,811111
ALD981860398,AL    ,44111
ALR000009365,AL    ,336414
ALR000038240,AL    ,452210
ALD149979403,AL    ,42313
ALD059894683,AL    ,441110
ALD040663916,AL    ,323112
ALR000053850,AL    ,811111
ALR000053850,AL    ,447110
ALD009825944,AL    ,48819
ALR000036137,AL    ,23816
ALR000024307,AL    ,311119
ALR000016329,AL    ,323119
ALD983166430,AL    ,332999
ALR000017186,AL    ,811191
ALR000029231,AL    ,562112
ALD077640449,AL    ,336991
ALR000018176,AL    ,49311
ALD982090607,AL    ,81232
ALD048893671,AL    ,44111
ALD983170259,AL    ,313110
ALD981745607,AL    ,811191
ALD040648834,AL    ,42471
ALR000010389,AL    ,61131
ALR000050823,AL    ,22111
ALR000040774,AL    ,33711
ALR000015966,AL    ,333111
ALR000005959,AL    ,45299
ALR000034629,AL    ,81111
ALR000023051,AL    ,811191
ALR000046904,AL    ,812332
ALD041761339,AL    ,81232
ALD983191818,AL    ,44111
ALD982133969,AL    ,44611
ALD000652594,AL    ,321211
ALD983171299,AL    ,56221
ALR000025494,AL    ,211111
ALD982082323,AL    ,811111
ALR000000976,AL    ,45299
ALD981869712,AL    ,54171
ALR000050493,AL    ,23822
ALR000003418,AL    ,452311
ALD147871883,AL    ,81231
ALD982111296,AL    ,811111
ALD983174723,AL    ,811121
ALR000045500,AL    ,48412
ALD983173659,AL    ,3342
ALR000050740,AL    ,621498
ALR000003160,AL    ,44421
ALD983191883,AL    ,811121
ALD045623634,AL    ,44111
ALR000032888,AL    ,81111
ALR000011668,AL    ,541380
ALD983184979,AL    ,811121
AL0000359224,AL    ,339999
ALD981758147,AL    ,81232
ALR000018689,AL    ,811191
ALR000018689,AL    ,811118
ALD982091480,AL    ,332996
ALD982140477,AL    ,33992
ALD981002959,AL    ,324199
ALR000044743,AL    ,92411
ALR000051813,AL    ,44611
ALD078971058,AL    ,32532
ALD044075919,AL    ,334512
ALD082060021,AL    ,42271
ALD983193061,AL    ,332813
ALD058637166,AL    ,44111
AL0000145284,AL    ,44111
ALD983178187,AL    ,321114
ALD982156598,AL    ,81232
ALR000024570,AL    ,21112
ALD983167792,AL    ,61131
ALR000024398,AL    ,323115
ALR000018531,AL    ,32739
ALD982161275,AL    ,44111
ALR000025320,AL    ,811111
ALD983193053,AL    ,562998
ALR000006163,AL    ,332114
ALR000043158,AL    ,532412
ALD983176280,AL    ,811121
ALR000026559,AL    ,811191
ALR000026559,AL    ,811111
ALD136419686,AL    ,811118
ALR000000521,AL    ,334519
ALD983190695,AL    ,81131
ALR000002972,AL    ,81111
ALR000024265,AL    ,23491
ALD983180290,AL    ,326122
ALR000010645,AL    ,811111
ALR000044917,AL    ,44131
AL2210090039,AL    ,92811
ALD981477029,AL    ,81232
ALD139657969,AL    ,336415
ALD983180274,AL    ,326299
ALR000032029,AL    ,311225
ALR000053306,AL    ,336611
ALR000041111,AL    ,23731
ALR000038927,AL    ,339999
ALD983170663,AL    ,42271
ALD983179706,AL    ,53249
ALR000005975,AL    ,811191
ALD983191669,AL    ,81232
ALD983179763,AL    ,811111
ALR000017814,AL    ,811112
ALR000016592,AL    ,212312
ALR000037481,AL    ,32551
ALR000022657,AL    ,337122
ALR000006338,AL    ,811121
ALD983177361,AL    ,48411
AL0000045518,AL    ,335313
TNR000031120,AL    ,485991
ALD983175837,AL    ,811111
ALR000015925,AL    ,21112
ALD031477029,AL    ,44131
ALD983192881,AL    ,332322
ALD072092174,AL    ,33636
ALD983182056,AL    ,313111
ALD982128175,AL    ,453998
ALD053367553,AL    ,333992
ALR000014662,AL    ,212312
ALR000014514,AL    ,212312
ALD981867112,AL    ,81131
ALR000032565,AL    ,711212
ALD021254776,AL    ,81231
ALD983174046,AL    ,81131
